Sample,PostQC fwd reads
12C16O_0h_100_P08_unf,76314836
12C16O_0h_100_P14_unf,67241734
12C16O_0h_100_P16_unf,85627786
12C16O_0h_50_P09_unf,72564303
12C16O_0h_50_P10_unf,80822689
12C16O_0h_50_P13_unf,78159706
12C16O_168h_100_P08_unf,73830383
12C16O_168h_100_P14_unf,81782554
12C16O_168h_100_P16_unf,73635728
12C16O_168h_50_P09_unf,82269341
12C16O_168h_50_P10_unf,94726832
12C16O_168h_50_P13_unf,85066456
12C16O_24h_100_P08_unf,70015595
12C16O_24h_100_P14_unf,77310100
12C16O_24h_100_P16_unf,73691611
12C16O_48h_100_P08_unf,69316037
12C16O_48h_100_P14_unf,76806911
12C16O_48h_100_P16_unf,73348834
12C16O_48h_50_P09_unf,83493953
12C16O_48h_50_P10_unf,68274501
12C16O_48h_50_P13_unf,93718277
12C16O_72h_100_P08_unf,74567881
12C16O_72h_100_P14_unf,83444605
12C16O_72h_100_P16_unf,73654219