Time,Group,d13CO2
0,50,-10.622
0,50,-12.148
0,50,-14.791
0,50,-15.446
3,50,71.986
3,50,86.215
3,50,93.086
3,50,63.982
24,50,184.763
24,50,203.693
24,50,218.59
24,50,156.023
48,50,256.349
48,50,286.562
48,50,287.245
48,50,215.847
72,50,308.741
72,50,329.267
72,50,332.841
72,50,236.354
168,50,380.066
168,50,389.63
168,50,379.415
168,50,286.439
0,100,-12.486
0,100,-12.318
0,100,-15.527
0,100,-15.673
3,100,149.313
3,100,84.438
3,100,69.988
3,100,113.676
24,100,360.971
24,100,216.37
24,100,165.675
24,100,257.728
48,100,469.697
48,100,294.437
48,100,235.997
48,100,331.636
72,100,523.715
72,100,347.977
72,100,276.69
72,100,367.736
168,100,603.036
168,100,431.189
168,100,358.111
168,100,363.344