Time,Group,adj_CO2
0,100%,939100.1
0,100%,1018355.5
0,100%,812436.5
0,100%,966181.3
0,50%,928690.8
0,50%,819197.6
0,50%,844115.2
0,50%,947312.4
3,100%,1164162.5
3,100%,1147869.5
3,100%,1190138.1
3,100%,1318256.6
3,50%,1095900.1
3,50%,1741369.2
3,50%,1351219.6
3,50%,3090126.1
24,100%,2478373.8
24,100%,2673348.5
24,100%,2278354.3
24,100%,3165466
24,50%,2387608.7
24,50%,2624571.4
24,50%,2883746.7
24,50%,3232148.6
48,100%,3537996.1
48,100%,3405800.9
48,100%,3367660.3
48,100%,4518462.4
48,50%,3334872
48,50%,3647626.2
48,50%,4178435
48,50%,4988660.4
72,100%,4749046.7
72,100%,4514273
72,100%,4654794.9
72,100%,7549355.7
72,50%,4622504.8
72,50%,5285600.2
72,50%,5876381
72,50%,6907100.8
168,100%,8116640
168,100%,7777861.8
168,100%,8833638.6
168,100%,11400927.9
168,50%,7974181
168,50%,8493913
168,50%,11025209.1
168,50%,12844757